Mehmet Cem Kamözüt,BİLİM TARİHİ VE FELSEFESİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264039/643429/1
,TEKNİK İNGİLİZCE-II,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264056/643429/1
Doç. Dr. Arife Candaş Adıgüzel Zengin,MAKALE VE SUNUM HAZIRLAMA TEKNİKLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264057/643429/1
Doç. Dr. Serdal Temel,GİRİŞİMCİLİK VE İŞ PLANI HAZIRLAMA,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/261824/643429/1
Barbaros Tunç,GİRİŞİMCİLİK VE ETİK,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264187/643429/1
,İNOVASYONUN TİCARİLEŞTİRİLMESİ VE GİRİŞİMCİLİK,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/265577/643429/1
Barbaros Tunç,MÜHENDİSLER İÇİN TEMEL YÖNETİM VE YÖNETİCİLİK BECERİLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264045/643429/1
Prof. Dr. Turan ATILGAN,MÜŞTERİ İLİŞKİLERİ YÖNETİMİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/275678/643429/1
Yük.Müh.Murat Ihlamur,SİSTEM ANALİZİ VE TASARIMI,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122093/643126/1
Ruhi YARDAM,ÜRETİM BİLGİ SİSTEMLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122148/643126/1
Dr. Öğ. Üy. Mustafa Engin,GERÇEK ZAMANLI İLETİŞİM SİSTEMLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/241593/643126/1
Prof.Dr.Yasemin TOPALOĞLU,YAZILIM  KULLANILABİLİRLİĞİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/241594/643126/1
Prof.Dr. Murat Osman ÜNALIR,MOBİL BULUT PROGRAMLAMA,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/254031/643126/1
"Prof. Dr. Aybars UĞUR
Arş. Gör. Dr. Osman GÖKALP",EVRİMSEL HESAPLAMA,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/277610/643126/1
Dr. Öğr. Üyesi Birol ÇİLOĞLUGİL,MİKROSERVİSLER,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/277611/643126/1
Prof. Dr. Aybars UĞUR,İŞLEMSEL ZEKA VE DERİN ÖĞRENME,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/277612/643126/1
